Name,Type,Tags,Event,Date,Place,"lat,long",Description,Source,Image,Role,Contacted,Column
Rau  Hoskins,Architect,,Viaduct basin Study,1985,,,assisted on the study,The Auckland Waterfront Story Part 2,https://www.canadianarchitect.com/features/raic-journal-rau-hoskins-maori-architect/,helped Tony Ward on the Viaduct Basin study,,
Tony Ward,Architect,,Auckland Waterfront Story,2007,Auckland Waterfront,,architect and researcher,The Auckland Waterfront Story Part 1,https://0.academia-photos.com/927620/850198/1259000/s200_tony.ward,author and researched on the Viaduct Basin study.... here is a link to his vitae which notes his involvement with waterfront planning (http://tonywardedu.academia.edu/TonyWard/CurriculumVitae),,
Rau  Hoskins,Architect,,Design Opporunity,"October 1, 2009",Queen’s Wharf,"-36.861657, 174.732873",director of designTRIBE architects and lecturer at Unitec,Missed Design Opportunity At Queens Wharf Unsettles Maori,https://goo.gl/images/FYiWmG,Agrees that the opportunity to create an internationally-recognized ion to showcase has been lost,,
Ian Athfield,Architect,,Design Competition,"November 17, 2009",New Zealand,"-36.850140, 174.765679",Member of advisory panel,"Queen's Wharf: Let's decide exactly what we want, by Aaron Sills",https://noted-prod-cdn-ep.azureedge.net/uploads/listener/2012/06/10602012NZLMMAth46.jpg,,,
Aaron Sills,Architect,,Design Competition,"November 17, 2009",New Zealand,"-36.857900, 174.760382",Architect and director of Sills van Bohem Architecture,"Queen's Wharf: Let's decide exactly what we want, by Aaron Sills",https://nz5.architecturemedia.net/site_media/media/cache/ed/a5/eda5e43cf07b0615a2d1a56a3790c261.jpg,Member of finalist team in the Design Competition,,
Mike Austin,Architect,,design competition,"October 9, 2009",Queens Wharf,"-36.880508, 174.707790",professor of architecture at Unitec,"Wharf designs misses the boat, NZ Herald ",need to contact architect for rendering,proposed to rennovate sheds,,
Lyonel Grant,Architect,,design competition,"October 9, 2009",Queens Wharf,"-38.115653, 176.416624",carver,"Wharf designs misses the boat, NZ Herald",https://goo.gl/images/gyJmcE,Mike Austin proposed that he carve on the wharf,,
John Hunt,Architect,,Design Compeition,"October 19, 2010",Queens Wharf,"-36.843941, 174.767796",Competition Panel Advisor,John Hunt write up,find image,Expert advisor of competition,,
Tony Watkins,Architect,,Design Plans,2010,Queens Wharf,"-36.848270, 174.878407",Commentator,Tony Watkins on Queens Wharf,use image on article (LINK NEEDED),Advocates for keeping the sheds on Queens Wharf on the basis that the best parties are hosted in them as they have history and should be celebrated,,
Mike Lee,Architect,,Super City,"October 19, 2010",Auckland,"-36.849625, 174.762316",Mayoral canditate,John Hunt write up,https://www.aucklandcouncil.govt.nz/about-auckland-council/how-auckland-council-works/governing-body-wards-committees/wards/PublishingImages/mike-lee.jpg,"Used comptetition for ""political mudslinging""",,
KIWA Working Group,Architect,,Design plans,2011,Auckland,"-36.860109, 174.777844",Pacific and Maori artists,,find image of group,Aim to create a proposal for the Contemporary Maori & Pacific Cultural Centre on a wharf/waterfront,,
Jasmax,Architect,,The Cloud construction,2011,Queens Wharf,"-36.850252, 174.778183",The architecture firm that designed and constructed Cloud 10.,Jasmax - The Cloud,https://media.licdn.com/dms/image/C560BAQH11rTssjnRgw/company-logo_200_200/0?e=2159024400&v=beta&t=nuKy2bbdieb4jBRbtG3IyzIuFISCLmNMW6EVVgK1gZ0,Created the fanzone and party space for 2011 RWC. Designed the temporary building (<20 years) and is still in use today.,,
Andrius Gedgaudas,Architect,,Design Competition,September 2009,"Shanghai, China","31.2304, 121.4737",Architect,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,couldn't find photo of him but found his design (http://cdn.archinect.net/images/1010x/3u/3uv1c1hadv11sy6w.jpg),Finalist in design comptetition,,
Hamish Foote,Architect,,Design Competition,September 2009,Auckland,"-36.880525, 174.708187",Field Landscape Architecture,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,see above (part of the team who made this design),Finalist in design comptetition,,
David Gibbs,Architect,,Design Competition,September 2009,Auckland,"-36.846721, 174.759677",Construkt/SVB,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,https://worldlandscapearchitect.com/wp-content/uploads/2009/09/1701.jpg,Finalist in design comptetition,,
Aaron Sills,Architect,,Design Competition,September 2009,Auckland,"-36.846721, 174.759677",Construkt/SVB,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,see above (part of the team who made this design),Finalist in design comptetition,,
Ian Athfield,Architect,,Design Competition,September 2009,Auckland,"-36.850140, 174.765679",,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,https://noted-prod-cdn-ep.azureedge.net/uploads/listener/2012/06/10602012NZLMMAth46.jpg,"Advisory pannel on the design finalists for the CEOs of the Ministry of Economic Development, Auckland Regional Council, and the Auckland City Council ",,
Tasman Studios,Architect,,Design Competition,October 2009,Auckland,"-41.190047, 173.039618",Architecture Studio,Minutes from City Development Comittee Meeting 9 October 2009,couldn't find image,Expression of interest (EOI) finalist for design competition,,
Jasmax + Architectus,Architect,,Design Competition,October 2009,Auckland,"-36.850252, 174.778183",Architecture Studio,Minutes from City Development Comittee Meeting 9 October 2010,"see previous image on jasmax, for architectus https://media.glassdoor.com/sqll/453662/architectus-squarelogo-1461671300641.png",Expression of interest (EOI) finalist for design competition,,
Field Landscape Architecture,Architect,,Design Cometition,October 2009,Auckland,"33.756277, 84.366198",Auckland architecture firm,Cross Section: Queen's Wharf Moves On,http://www.crosssection.co.nz/imagescont/Oct%2009/046_web.jpg,"Stage 1 finalist, retain both sheds and link them",,
Construkt/SVB,Architect,,Design Cometition,October 2009,Auckland,"-36.846712, 174.759706",Auckland architecture firm,Cross Section: Queen's Wharf Moves On,http://www.crosssection.co.nz/imagescont/BigViewSVB.jpg,"Stage 1 finalist, remove shed 11",,
Tasman Studio,Architect,,Design Cometition,October 2009,Auckland,"-41.190003, 173.039592",International collaboration of architecture firms,Cross Section: Queen's Wharf Moves On,http://www.crosssection.co.nz/imagescont/Oct%2009/WM.jpg,"Stage 1 finalist, retain shed 11 for events, remove shed 10",,
Williams Architects,Architect,,Design Cometition,October 2009,Auckland,"-36.861181, 174.758352",Auckland architecture firm,Cross Section: Queen's Wharf Moves On,http://www.crosssection.co.nz/imagescont/Oct%2009/simon.jpg,"Stage 1 finalist, retain shed 11 for plaza, remove shed 10",,
Jasmax/Architectus,Architect,,Design Cometition,October 2009,Auckland,"-36.850252, 174.778183",Unspecified team of architects,Cross Section: Queen's Wharf Moves On,see previous Jasmax image,Stage 1 finalist,,
Andrius Gedgaudas,Architect,,Design Cometition,October 2009,Auckland,"31.2304, 121.4737",Architect from China,Cross Section: Queen's Wharf Moves On,http://www.crosssection.co.nz/imagescont/Oct%2009/024_web.jpg,"Stage 1 finalist, modify shed 10",,
Ian Athfield,Architect,,Design Cometition,October 2009,Auckland,"-36.850385, 174.765720",Architect,IN PICTURES: How 5 finalists want Queens Wharf to look,see previous image on athfield,Advisor to finalist selection panel,,
Watershed team,Architect,,Design Competition,October 2009,Auckland,"-36.852123, 174.782890",Architecture Studio,https://www.nzherald.co.nz/design/news/article.cfm?c_id=236&objectid=10600399,need to contact architects for rendering,Expression of interest (EOI) finalist for design competition,,
Warren and Mahoney,Architect,,Design Compeition,"October 19, 2009",Queens Wharf,"-36.843216, 174.756209",The architctural firm that won two design competition slots,John Hunt write up,find firm logo,Participated in competition,,
Compusoft Engineering,Architect,tuppawaka,Tuppawaka,,Auckland,"-36.864851, 174.780414",Structural engineer for the Waka Maori,https://docs.google.com/document/d/1DyZ8s6mnDLkUOcDkoGq-qTrtEUOWLo_2HodfIF0R_Ok/edit?usp=sharing,,,,
